,Instance,vCPU,ECU,Memory (GiB),Instance Storage (GB),Linux/UNIX Usage,Instance_prefix
104,c5d.12xlarge,48,188,96 GiB,2 x 900 NVMe SSD,2.304,c5d
189,r5n.8xlarge,32,,256 GiB,EBS Only,2.384,r5n
35,m6g.metal,64,,256 GiB,EBS Only,2.464,m6g
34,m6g.16xlarge,64,,256 GiB,EBS Only,2.464,m6g
57,m5ad.12xlarge,48,,192 GiB,2 x 900 NVMe SSD,2.472,m5ad
210,i3.8xlarge,32,97,244 GiB,4 x 1900 NVMe SSD,2.496,i3
181,r5dn.8xlarge,32,,256 GiB,2 x 600 NVMe SSD,2.672,r5dn
217,i3en.6xlarge,24,,192 GiB,2 x 7500 NVMe SSD,2.712,i3en
159,r5a.12xlarge,48,,384 GiB,EBS Only,2.712,r5a
64,m5d.12xlarge,48,168,192 GiB,2 x 900 NVMe SSD,2.712,m5d
51,m5a.16xlarge,64,,256 GiB,EBS Only,2.752,m5a
227,d2.4xlarge,16,56,122 GiB,12 x 2000 HDD,2.76,d2
81,m5n.12xlarge,48,,192 GiB,EBS Only,2.856,m5n
150,r5.12xlarge,48,168,384 GiB,EBS Only,3.024,r5
96,c5.18xlarge,72,281,144 GiB,EBS Only,3.06,c5
120,p3.2xlarge,8,31,61 GiB,EBS Only,3.06,p3
42,m5.16xlarge,64,256,256 GiB,EBS Only,3.072,m5
166,r5ad.12xlarge,48,,384 GiB,2 x 900 NVMe SSD,3.144,r5ad
89,m4.16xlarge,64,188,256 GiB,EBS Only,3.2,m4
73,m5dn.12xlarge,48,,192 GiB,2 x 900 GB NVMe SSD,3.264,m5dn
230,f1.4xlarge,16,58,244 GiB,1 x 940 NVMe SSD,3.3,f1
141,x1e.4xlarge,16,47,488 GiB,1 x 480 SSD,3.336,x1e
173,r5d.12xlarge,48,168,384 GiB,2 x 900 NVMe SSD,3.456,r5d
105,c5d.18xlarge,72,281,144 GiB,2 x 900 NVMe SSD,3.456,c5d
190,r5n.12xlarge,48,,384 GiB,EBS Only,3.576,r5n
65,m5d.16xlarge,64,256,256 GiB,4 x 600 NVMe SSD,3.616,m5d
160,r5a.16xlarge,64,,512 GiB,EBS Only,3.616,r5a
224,h1.16xlarge,64,201,256 GiB,8 x 2000 HDD,3.744,h1
82,m5n.16xlarge,64,,256 GiB,EBS Only,3.808,m5n
114,c5n.metal,72,,192 GiB,EBS Only,3.888,c5n
113,c5n.18xlarge,72,281,192 GiB,EBS Only,3.888,c5n
131,g4dn.12xlarge,48,,192 GiB,900 GB NVMe SSD,3.912,g4dn
182,r5dn.12xlarge,48,,384 GiB,2 x 900 GB NVMe SSD,4.008,r5dn
151,r5.16xlarge,64,256,512 GiB,EBS Only,4.032,r5
98,c5.metal,96,375,192 GiB,EBS Only,4.08,c5
97,c5.24xlarge,96,375,192 GiB,EBS Only,4.08,c5
52,m5a.24xlarge,96,,384 GiB,EBS Only,4.128,m5a
198,r4.16xlarge,64,201,488 GiB,EBS Only,4.256,r4
74,m5dn.16xlarge,64,,256 GiB,4 x 600 NVMe SSD,4.352,m5dn
132,g4dn.16xlarge,64,,256 GiB,900 GB NVMe SSD,4.352,g4dn
205,z1d.metal,48,271,384 GiB,2 x 900 NVMe SSD,4.464,z1d
204,z1d.12xlarge,48,235,384 GiB,2 x 900 NVMe SSD,4.464,z1d
135,g3.16xlarge,64,201,488 GiB,EBS Only,4.56,g3
107,c5d.metal,96,375,192 GiB,4 x 900 NVMe SSD,4.608,c5d
106,c5d.24xlarge,96,375,192 GiB,4 x 900 NVMe SSD,4.608,c5d
43,m5.24xlarge,96,337,384 GiB,EBS Only,4.608,m5
174,r5d.16xlarge,64,256,512 GiB,4 x 600 NVMe SSD,4.608,r5d
44,m5.metal,96,345,384 GiB,EBS Only,4.608,m5
191,r5n.16xlarge,64,,512 GiB,EBS Only,4.768,r5n
58,m5ad.24xlarge,96,,384 GiB,4 x 900 NVMe SSD,4.944,m5ad
211,i3.16xlarge,64,201,488 GiB,8 x 1900 NVMe SSD,4.992,i3
212,i3.metal,64,208,512 GiB,8 x 1900 NVMe SSD,4.992,i3
183,r5dn.16xlarge,64,,512 GiB,4 x 600 NVMe SSD,5.344,r5dn
67,m5d.metal,96,345,384 GiB,4 x 900 NVMe SSD,5.424,m5d
66,m5d.24xlarge,96,337,384 GiB,4 x 900 NVMe SSD,5.424,m5d
161,r5a.24xlarge,96,,768 GiB,EBS Only,5.424,r5a
218,i3en.12xlarge,48,168,384 GiB,4 x 7500 NVMe SSD,5.424,i3en
228,d2.8xlarge,36,116,244 GiB,24 x 2000 HDD,5.52,d2
83,m5n.24xlarge,96,,384 GiB,EBS Only,5.712,m5n
152,r5.24xlarge,96,337,768 GiB,EBS Only,6.048,r5
153,r5.metal,96,347,768 GiB,EBS Only,6.048,r5
167,r5ad.24xlarge,96,,768 GiB,4 x 900 NVMe SSD,6.288,r5ad
75,m5dn.24xlarge,96,,384 GiB,4 x 900 NVMe SSD,6.528,m5dn
137,x1.16xlarge,64,174.5,976 GiB,1 x 1920 SSD,6.669,x1
142,x1e.8xlarge,32,91,976 GiB,1 x 960 SSD,6.672,x1e
176,r5d.metal,96,347,768 GiB,4 x 900 NVMe SSD,6.912,r5d
175,r5d.24xlarge,96,337,768 GiB,4 x 900 NVMe SSD,6.912,r5d
192,r5n.24xlarge,96,,768 GiB,EBS Only,7.152,r5n
125,p2.8xlarge,32,97,488 GiB,EBS Only,7.2,p2
235,inf1.24xlarge,96,,192 GiB,EBS Only,7.615,inf1
184,r5dn.24xlarge,96,,768 GiB,4 x 900 NVMe SSD,8.016,r5dn
220,i3en.metal,96,,768 GiB,8 x 7500 NVMe SSD,10.848,i3en
219,i3en.24xlarge,96,337,768 GiB,8 x 7500 NVMe SSD,10.848,i3en
121,p3.8xlarge,32,97,244 GiB,EBS Only,12.24,p3
231,f1.16xlarge,64,201,976 GiB,4 x 940 NVMe SSD,13.2,f1
138,x1.32xlarge,128,349,"1,952 GiB",2 x 1920 SSD,13.338,x1
143,x1e.16xlarge,64,179,"1,952 GiB",1 x 1920 SSD,13.344,x1e
126,p2.16xlarge,64,201,732 GiB,EBS Only,14.4,p2
122,p3.16xlarge,64,201,488 GiB,EBS Only,24.48,p3
144,x1e.32xlarge,128,340,"3,904 GiB",2 x 1920 SSD,26.688,x1e
123,p3dn.24xlarge,96,337,768 GiB,2 x 900 NVMe SSD,31.212,p3dn
